GPIO,pin,DRIVINGSINK,PULLDOWN,DIRECTION,OUTPUT
,GPIO_3_0,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_3_1,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_3_2,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_3_3,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_3_4,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_3_5,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_3_6,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_3_7,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_3_8,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_3_9,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_3_10,PAD_DRIVINGSINK_8MA,PAD_PULLUP,GPIO_DIR_INPUT,LOW

