,DGPIO8,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,DGPIO9,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,DGPIO10,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,DGPIO11,PAD_DRIVINGSINK_LEVEL_0,PAD_NONE,GPIO_DIR_INPUT,LOW
,,,,,
EGPIO,pin,DRIVINGSINK,PULLDOWN,DIRECTION,OUTPUT
,EGPIO0,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO1,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO2,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO3,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO4,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO5,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO6,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO7,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO8,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO9,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO10,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO11,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO12,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO13,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO14,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO15,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO16,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO17,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO18,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO19,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO20,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO21,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO22,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO23,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO24,PAD_DRIVINGSINK_LEVEL_1,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO25,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,EGPIO26,PAD_DRIVINGSINK_LEVEL_0,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
