PIN_REMOTE_CFG_3RD_PINMUX,4,P_GPIO44[],,
PIN_REMOTE_CFG_4TH_PINMUX,8,S_GPIO82[],,
PIN_REMOTE_CFG_5TH_PINMUX,16,S_GPIO83[],,
PIN_REMOTE_CFG_6TH_PINMUX,32,P_GPIO12[],,
PIN_REMOTE_CFG_7TH_PINMUX,64,P_GPIO13[],,
PIN_REMOTE_CFG_8TH_PINMUX,128,P_GPIO19[],,
PIN_REMOTE_CFG_9TH_PINMUX,256,P_GPIO20[],,
PIN_REMOTE_CFG_10TH_PINMUX,512,P_GPIO33[],,
PIN_REMOTE_CFG_11TH_PINMUX,1024,D_GPIO2[],,
PIN_REMOTE_CFG_12TH_PINMUX,2048,D_GPIO9[],,
PIN_REMOTE_CFG_13TH_PINMUX,4096,D_GPIO10[],,
,,,,
,,,,
,,,,
,,,,
,,,,
PIN_ETH_CFG_NONE,0,,,
PIN_ETH_CFG_RGMII_1ST_PINMUX,1,E_GPIO2[]|E_GPIO3[]|E_GPIO4[]|E_GPIO5[]|E_GPIO6[]|E_GPIO7[]|E_GPIO8[]|E_GPIO9[]|E_GPIO10[]|E_GPIO11[]|E_GPIO12[]|E_GPIO13[],,
PIN_ETH_CFG_RGMII_2ND_PINMUX,2,S_GPIO2[]|S_GPIO3[]|S_GPIO4[]|S_GPIO5[]|S_GPIO6[]|S_GPIO7[]|S_GPIO8[]|S_GPIO9[]|S_GPIO10[]|S_GPIO11[]|S_GPIO12[]|S_GPIO13[],,
PIN_ETH_CFG_RMII_1ST_PINMUX,16,E_GPIO2[]|E_GPIO3[]|E_GPIO4[]|E_GPIO5[]|E_GPIO9[]|E_GPIO10[]|E_GPIO11[],,
PIN_ETH_CFG_RMII_2ND_PINMUX,32,S_GPIO2[]|S_GPIO3[]|S_GPIO4[]|S_GPIO5[]|S_GPIO9[]|S_GPIO10[]|S_GPIO11[],,
PIN_ETH_CFG_REFCLK_PINMUX,256,E_GPIO0[],S_GPIO0[],
PIN_ETH_CFG_RST_PINMUX,512,E_GPIO1[],S_GPIO1[],
PIN_ETH_CFG_MDC_MDIO_PINMUX,1024,E_GPIO14[]|E_GPIO15[],S_GPIO14[]|S_GPIO15[],
PIN_ETH2_CFG_RGMII_2ND_PINMUX,8192,S_GPIO20[]|S_GPIO21[]|S_GPIO22[]|S_GPIO23[]|S_GPIO24[]|S_GPIO25[]|S_GPIO26[]|S_GPIO27[]|S_GPIO28[]|S_GPIO29[]|S_GPIO30[]|S_GPIO31[],,
PIN_ETH2_CFG_RMII_2ND_PINMUX,131072,S_GPIO20[]|S_GPIO21[]|S_GPIO22[]|S_GPIO23[]|S_GPIO27[]|S_GPIO28[]|S_GPIO29 [],,
PIN_ETH2_CFG_REFCLK_PINMUX,1048576,,S_GPIO18[],
PIN_ETH2_CFG_RST_PINMUX,2097152,,S_GPIO19[],
PIN_ETH2_CFG_MDC_MDIO_PINMUX,4194304,E_GPIO30[]|E_GPIO31[],S_GPIO32[]|S_GPIO33[],
,,,,
PIN_MISC_CFG_NONE,0,,,
PIN_MISC_CFG_CPU_ICE,1,,,
PIN_MISC_CFG_VGA_HS,2,,,
PIN_MISC_CFG_VGA_VS,4,,,
PIN_MISC_CFG_BMC,8,,,
PIN_MISC_CFG_RTC_CAL_OUT,16,,,
PIN_MISC_CFG_DAC_RAMP_TP,32,,,
PIN_MISC_CFG_HDMI_HOTPLUG,64,,,
PIN_MISC_CFG_SATA_LED_1ST_PINMUX,1048576,P_GPIO42[],,
PIN_MISC_CFG_SATA_LED_2ND_PINMUX,2097152,P_GPIO8[],,
PIN_MISC_CFG_SATA_LED_3RD_PINMUX,4194304,D_GPIO3[],,
PIN_MISC_CFG_SATA2_LED_1ST_PINMUX,16777216,P_GPIO43[],,
PIN_MISC_CFG_SATA2_LED_2ND_PINMUX,33554432,P_GPIO9[],,
PIN_MISC_CFG_SATA2_LED_3RD_PINMUX,67108864,D_GPIO4[],,
PIN_MISC_CFG_SATA3_LED_1ST_PINMUX,268435456,P_GPIO44[],,
PIN_MISC_CFG_SATA3_LED_2ND_PINMUX,536870912,P_GPIO11[],,
PIN_MISC_CFG_SATA3_LED_3RD_PINMUX,1073741824,D_GPIO5[],,
,,,,
PIN_PWM_CFG_NONE,0,,,
PIN_PWM_CFG_CH_1ST_PINMUX,1,P_GPIO30[],,
PIN_PWM_CFG_CH2_1ST_PINMUX,16,P_GPIO31[],,
PIN_PWM_CFG_CH3_1ST_PINMUX,256,P_GPIO32[],,
PIN_PWM_CFG_CH4_1ST_PINMUX,4096,D_GPIO0[],,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
PIN_FUNC_UART,0,,,
PIN_FUNC_I2C,1,,,
PIN_FUNC_SDIO,2,,,
PIN_FUNC_SPI,3,,,
PIN_FUNC_EXTCLK,4,,,
PIN_FUNC_SSP,5,,,
PIN_FUNC_LCD,6,,,
PIN_FUNC_REMOTE,7,,,
PIN_FUNC_VCAP,8,,,
PIN_FUNC_ETH,9,,,
PIN_FUNC_MISC,10,,,
PIN_FUNC_PWM,11,,,
PIN_FUNC_MIPI,12,,,
PIN_FUNC_MAX,13,,,
